Name,Latitude,Longitude,Rating,Place_ID,amusement_park,art_gallery,campground,car_rental,cemetery,church,establishment,finance,food,gym,health,hindu_temple,lodging,museum,park,place_of_worship,point_of_interest,real_estate_agency,shopping_mall,store,synagogue,tourist_attraction,travel_agency,zoo
Kalakar Katha,18.5175368,73.8414957,4.6,ChIJsXnJIy6_wjsRj3tIe5peNYA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"Katraj Jain Temple, Aagam Mandir",18.4462282,73.8535887,4.6,ChIJs69kC9DqwjsR4BVvehoCFLc,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
Katraj Lake,18.4444385,73.8629937,4.2,ChIJT1Q90d3qwjsRaA6TIdEffCo,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Khadki War Cemetery,18.5520311,73.8566962,4.5,ChIJ0bgnEb7AwjsRAl_JT3JsCXc,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Bhushi Dam,18.4207021,73.8543379,3,ChIJV8whU13rwjsR5cR4V3VWcNw,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Laal Mahal,18.5187433,73.8566483,4.5,ChIJoZE8eWXAwjsRkh_y2oBtIEo,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Late Sanjay Mahadeo Nimhan Gram Sanskruti Udyan,18.545905,73.798257,4.5,ChIJNwqWDh-_wjsRCic6BxFOa7A,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
Maangaon Dam,18.5649638,73.7181031,4.5,ChIJC_q5GW-7wjsR0SNMO_Doxyk,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Mahadji Shinde Chhatri,18.4916261,73.8972863,4.3,ChIJkWVv59bBwjsRHarg2LI6ikI,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Maharshi Karve Museum,18.4885861,73.8147703,4.2,ChIJNW9Mrd2_wjsRqOrzSDMatkA,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
Mahasadhu Shree Moraya Gosavi Maharaj Sanjivan Samadhi Mandir,18.6264442,73.7789134,4.7,ChIJkbXS6KS5wjsRmD03IM1s9U4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0
Mahatma Phule Museum,18.5235602,73.8454239,4.1,ChIJtUE80X7AwjsRQxkedrE03NI,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
Marunji Hills,18.6029824,73.7000683,4.7,ChIJnXWr9ra7wjsR6JFbQoeRWSA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
Mhatoba Mandir,18.5898722,73.7355417,4.7,ChIJc3mnycK7wjsROD3Kmtbojkc,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0
MIT-WPU Hill,18.5181546,73.8151177,2.7,ChIJJSvUvnq_wjsRpWCvVhqZ_rA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Nana Wada,18.5182802,73.8561775,4.3,ChIJgXZ3fWXAwjsRnEpCIQhk7fY,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
National War Memorial Southern Command,18.5231259,73.8896668,4.8,ChIJgVqCMK3BwjsRjC8iwuadUZ8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Nilkantheshwar Mandir,18.5669155,73.8095849,4.5,ChIJ0Z81zTO_wjsRFXTTZpXiQwI,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0
NK Farm Sunset Point,18.4236919,73.8463714,1.5,ChIJ5VYdc6jrwjsRo9Hk8mmHg0s,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Osho Teerth Park,18.5358733,73.8906921,4.1,ChIJJ-cTQQDBwjsRH4rwUIDtfds,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
Pashan Hill,18.5495132,73.7798939,4.5,ChIJrf0TqcO-wjsRZeoqUuHY4og,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
Pazhar Talav,18.5172176,73.8436889,3.5,ChIJeZ3uoHnAwjsRGnPwARHfQcc,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
Peshwe Energy Park,18.5691222,73.8026101,1.2,ChIJ0WyQ5Vm_wjsRQNCwjzJF8t0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Peshwe Museum,18.5023602,73.852232,4.3,ChIJIztE1w3AwjsR23oesHZSifQ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
Pimpri Chinchwad Science Park,18.5579005,73.7897298,1.3,ChIJj0xpya-_wjsRnqP1g4Cwr4g,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Raja Dinkar Kelkar Museum,18.5867982,73.6939964,4.5,ChIJWa-H8TS7wjsRYchapbz_u0M,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Rajiv Gandhi Zoological Park,18.4854211,73.9567389,1.6,ChIJr3FgCyLpwjsRx6M5GdfpfOo,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Saaras baag,18.5019021,73.7927621,1.6,ChIJEYNfsii_wjsRhTvPrMfvHuc,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Saint Tukaram maharaj Temple,18.5435461,73.7851312,4,ChIJzy2sCPu_wjsRrZPD-vArrAI,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Shaniwar wada main gate,18.4937646,73.9501339,4.2,ChIJVxtaTwjCwjsRHzXvjZPcFsc,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0
Shree Ayyappa Temple,18.4654795,73.8857285,1.5,ChIJbaOMUDbrwjsRz5Rz1uKybqs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Shree Devdeveshwar Temple (Parvati Temple),18.5178286,73.7800119,4,ChIJ9R0Fcbq_wjsR9hC8mKqyCro,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Shree Gajanan Maharaj Temple,18.516169,73.8627929,4.4,ChIJfTeCVGjAwjsRNeUaxgxm1pE,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0
Shree Omkareshwar Temple,18.5194142,73.8562516,4.5,ChIJN260dGXAwjsRykxHmjsobvI,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0
Shree Trishunda Ganpati Mandir,18.5461538,73.8821949,4.5,ChIJR7DaiOTAwjsRNeAcY_Y744I,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0
Shreemant Dagdusheth Halwai Ganpati Mandir,18.502681,73.8016201,5,ChIJA0KJZIW_wjsRZ_cLjJ034lY,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Shri Ahobila Mutt's Shri Balaji Mandir,18.5164297,73.8561329,4.8,ChIJ_0K0pW_AwjsR4bxItvVl850,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0
"Shri Mahalaxmi Mandir, Pune",18.5213708,73.7826834,5,ChIJ32hZj_a_wjsRRoKImJUVeik,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Srujan Art Gallery,18.6450757,73.7929443,4.6,ChIJx6MOYcu5wjsRVTT1tcvioGw,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0
St. Xavier's Catholic Church,18.4746461,73.89256,1.6,ChIJaRBuB4zrwjsRYczf-8ZTdtY,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Tulshibaug Shri Ram Mandir,18.5297662,73.8858599,4.4,ChIJ57wd_1TAwjsRiAo5Up8eveE,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
Tulsi Baug Ganpati,18.5137617,73.8553648,4.6,ChIJlz9Oam7AwjsRSAU54ATRZ64,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0
BAPS Swaminarayan Mandir,18.44243151,73.83646264,4.7,,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0
Okayama Friendship Garden,18.4929247,73.83611468,4.6,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
Taljai Tekdi,18.47586498,73.84359568,4.6,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
pataleshwar cave temples,18.52716813,73.84960065,4,,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0
Khadakwasla Dam,18.44243607,73.7670914,4.8,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Ohel David Synagogue,18.51965059,73.874652,4,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
Empress Garden,18.51310546,73.89783372,4.2,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
Seven Wonders Dream Park,18.4930378,73.85344298,3.9,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Chattushringi,18.54076046,73.8290855,4.8,,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
Amanora Mall,18.54383347,73.93816337,4.4,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
Seasons Mall,18.52206726,73.93154229,4.4,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
The Pavillion Mall,18.53687715,73.82911729,4.5,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
SGS Mall,18.52105029,73.87707415,4,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
Westend Mall,18.56507478,73.80647202,4.3,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
Phoenix Marketcity Pune,18.56664769,73.91678013,4.5,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
Kumar Pacific Mall,18.50509804,73.87072268,4.3,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
Reliance Centro,18.51388824,73.83982363,4.1,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
Royale Heritage Mall,18.47035536,73.90432852,4.1,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
Mandot Tower,18.4672039,73.87709301,3.9,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
CRU Mall,18.48588825,73.8777608,3.7,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
Lighthouse Mall,18.48328336,73.86248293,3.9,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
Reliance Mall,18.50819094,73.83467379,4,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
Phoenix Mall of the Millennium Wakad,18.60703506,73.75569479,4.4,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
93 Avenue,18.51424294,73.90564449,4.2,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
City One Mall,18.63903427,73.80189157,4,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
