,Unnamed: 0,Restaurant_Name,Locality_Restaurant,Ratings_out_of_5_Restaurant,Price_Restaurant,Price Level__Restaurant,Latitude_x__Restaurant,Longitude_x__Restaurant,Nearest_Place_Index_0,Distance_to_Place_0_from__Restaurant,Name_Place,Latitude_place_0_x,Longitude_place_0_x,Rating_Place,Place_ID_Place,amusement_park_Place,art_gallery_Place,campground_Place,car_rental_Place,cemetery_Place,church_Place,establishment_Place,finance_Place,food_Place,gym_Place,health_Place,hindu_temple_Place,lodging_Place,museum_Place,park_Place,place_of_worship_Place,point_of_interest_Place,real_estate_agency_Place,shopping_mall_Place,store__Place,synagogue_Place,tourist_attraction_Place,travel_agency_Place,zoo_Place,Hotel_name,area_Hotel,hotel_star_rating_Hotel,mmt_review_score_Hotel,Price_Hotel,Longitude_Hotel,Latitude_Hotel,Distance_to_Place_form_Hotel,budget,budget_level
4092,4092,Punjabi Amritsari Kulcha,Wakad,3.3,125,1,18.6022495,73.7644454,95,0.008756511,Phoenix Mall of the Millennium Wakad,18.60703506,73.75569479,4.4,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,Hotel Shloka Lodging,"Thergaon, Pune",1,3.3,3600,73.7653203,18.61457951,0.009638654,3725,4
4093,4093,Punjabi Amritsari Kulcha,Wakad,3.3,125,1,18.6022495,73.7644454,95,0.008756511,Phoenix Mall of the Millennium Wakad,18.60703506,73.75569479,4.4,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,Ranjanas Hospitality LLP,Bhumkar Chowk Wakad,1,4.3,1059,73.753823,18.603944,0.001885194,1184,1
4094,4094,Punjabi Amritsari Kulcha,Wakad,3.3,125,1,18.6022495,73.7644454,95,0.008756511,Phoenix Mall of the Millennium Wakad,18.60703506,73.75569479,4.4,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,Courtyard by Marriott Pune Hinjewadi,"Hinjewadi,P4 Rajiv Gandhi",4,4.8,10089,73.747194,18.590991,0.008587319,10214,5
4095,4095,Odisha Hotel,Wakad,4.2,350,1,18.6022495,73.7644454,95,0.008756511,Phoenix Mall of the Millennium Wakad,18.60703506,73.75569479,4.4,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,Hotel Shloka Lodging,"Thergaon, Pune",1,3.3,3600,73.7653203,18.61457951,0.009638654,3950,4
4096,4096,Odisha Hotel,Wakad,4.2,350,1,18.6022495,73.7644454,95,0.008756511,Phoenix Mall of the Millennium Wakad,18.60703506,73.75569479,4.4,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,Ranjanas Hospitality LLP,Bhumkar Chowk Wakad,1,4.3,1059,73.753823,18.603944,0.001885194,1409,1
4097,4097,Odisha Hotel,Wakad,4.2,350,1,18.6022495,73.7644454,95,0.008756511,Phoenix Mall of the Millennium Wakad,18.60703506,73.75569479,4.4,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,Courtyard by Marriott Pune Hinjewadi,"Hinjewadi,P4 Rajiv Gandhi",4,4.8,10089,73.747194,18.590991,0.008587319,10439,5
4098,4098,The Lands End Cafe,Wakad,3.6,200,1,18.6022495,73.7644454,95,0.008756511,Phoenix Mall of the Millennium Wakad,18.60703506,73.75569479,4.4,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,Hotel Shloka Lodging,"Thergaon, Pune",1,3.3,3600,73.7653203,18.61457951,0.009638654,3800,4
4099,4099,The Lands End Cafe,Wakad,3.6,200,1,18.6022495,73.7644454,95,0.008756511,Phoenix Mall of the Millennium Wakad,18.60703506,73.75569479,4.4,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,Ranjanas Hospitality LLP,Bhumkar Chowk Wakad,1,4.3,1059,73.753823,18.603944,0.001885194,1259,1
4100,4100,The Lands End Cafe,Wakad,3.6,200,1,18.6022495,73.7644454,95,0.008756511,Phoenix Mall of the Millennium Wakad,18.60703506,73.75569479,4.4,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,Courtyard by Marriott Pune Hinjewadi,"Hinjewadi,P4 Rajiv Gandhi",4,4.8,10089,73.747194,18.590991,0.008587319,10289,5
4101,4101,Dakkhan Spice,Wakad,4.1,200,1,18.6022495,73.7644454,95,0.008756511,Phoenix Mall of the Millennium Wakad,18.60703506,73.75569479,4.4,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,Hotel Shloka Lodging,"Thergaon, Pune",1,3.3,3600,73.7653203,18.61457951,0.009638654,3800,4
